year,method,k,sample,nreps,seed,ari,contingency_table
2021,BayesSpace,7,151507,10000,314,0.4455,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151507/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,7,151507,10000,30122,0.5151,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151507/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,9,151507,10000,314,0.3732,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=9/151507/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,9,151507,10000,30122,0.4413,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=9/151507/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,16,151507,10000,314,0.3238,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=16/151507/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,16,151507,10000,30122,0.2889,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=16/151507/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,7,151508,10000,314,0.4625,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151508/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,7,151508,10000,30122,0.4347,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151508/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,9,151508,10000,314,0.4054,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=9/151508/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,9,151508,10000,30122,0.3991,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=9/151508/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,16,151508,10000,314,0.2587,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=16/151508/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,16,151508,10000,30122,0.2925,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=16/151508/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,7,151509,10000,314,0.3721,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151509/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
2021,BayesSpace,7,151509,10000,30122,0.4134,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=7/151509/nreps=10000_seed=30122/vs_ground_truth/contingency_table.csv
2021,BayesSpace,9,151509,10000,314,0.2726,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/BayesSpace/k=9/151509/nreps=10000_seed=314/vs_ground_truth/contingency_table.csv
