year,method,model_variant,k,sample,PCs,ari,contingency_table
2021,mclust,EEE,7,151507,15,0.3997,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151507/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151507,15,0.3897,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151507/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,16,151507,15,0.3024,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=16/151507/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,7,151508,15,0.3579,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151508/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151508,15,0.3762,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151508/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,16,151508,15,0.2613,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=16/151508/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,7,151509,15,0.3964,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151509/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151509,15,0.3414,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151509/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,16,151509,15,0.2426,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=16/151509/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,7,151510,15,0.2704,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151510/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151510,15,0.3501,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151510/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,16,151510,15,0.2066,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=16/151510/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,7,151669,15,0.216,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151669/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151669,15,0.1993,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151669/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,16,151669,15,0.0983,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=16/151669/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,7,151670,15,0.208,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=7/151670/PCs=15/vs_ground_truth/contingency_table.csv
2021,mclust,EEE,9,151670,15,0.1281,https://users.wenglab.org/kresgeb/cluster-comparisons/results/comparisons/2021/mclust/EEE/k=9/151670/PCs=15/vs_ground_truth/contingency_table.csv
