[2025-09-10 12:19:58] Running with 100 threads
[2025-09-10 12:19:58] ===== Starting NMF pipeline =====
[2025-09-10 12:19:58] Loading data from: /data/zusers/kresgeb/hippocampus/R_download/spatial_hpc_snrna_seq.Rdata
Loading objects:
  spatial_hpc_snrna_seq
[2025-09-10 12:20:55] Data successfully loaded.
[2025-09-10 12:20:55] snrna object: SingleCellExperiment
[2025-09-10 12:20:55] Dimensions of logcounts: 36601 genes x 75411 cells
[2025-09-10 12:20:55] Size of logcounts assay: 4833.07 MB
[2025-09-10 12:20:55] Running NMF with RcppML...

iter |      tol 
---------------
   1 | 9.23e-01
   2 | 1.56e-01
   3 | 4.98e-02
   4 | 2.76e-02
   5 | 2.05e-02
   6 | 1.39e-02
   7 | 9.15e-03
   8 | 6.60e-03
   9 | 5.22e-03
  10 | 4.12e-03
  11 | 3.19e-03
  12 | 2.53e-03
  13 | 2.01e-03
  14 | 1.52e-03
  15 | 1.19e-03
  16 | 9.53e-04
  17 | 8.11e-04
  18 | 7.32e-04
  19 | 6.77e-04
  20 | 6.35e-04
  21 | 5.95e-04
  22 | 5.54e-04
  23 | 5.12e-04
  24 | 4.71e-04
  25 | 4.28e-04
  26 | 3.87e-04
  27 | 3.58e-04
  28 | 3.38e-04
  29 | 3.23e-04
  30 | 3.11e-04
  31 | 3.00e-04
  32 | 2.88e-04
  33 | 2.78e-04
  34 | 2.66e-04
  35 | 2.48e-04
  36 | 2.33e-04
  37 | 2.22e-04
  38 | 2.11e-04
  39 | 1.99e-04
  40 | 1.84e-04
  41 | 1.67e-04
  42 | 1.52e-04
  43 | 1.41e-04
  44 | 1.30e-04
  45 | 1.19e-04
  46 | 1.11e-04
  47 | 1.04e-04
  48 | 9.84e-05
  49 | 9.45e-05
  50 | 9.16e-05
  51 | 8.89e-05
  52 | 8.59e-05
  53 | 8.33e-05
  54 | 8.11e-05
  55 | 7.91e-05
  56 | 7.71e-05
  57 | 7.55e-05
  58 | 7.39e-05
  59 | 7.26e-05
  60 | 7.17e-05
  61 | 7.17e-05
  62 | 7.23e-05
  63 | 7.33e-05
  64 | 7.52e-05
  65 | 7.71e-05
  66 | 7.91e-05
  67 | 8.15e-05
  68 | 8.39e-05
  69 | 8.47e-05
  70 | 8.32e-05
  71 | 7.95e-05
  72 | 7.36e-05
  73 | 6.55e-05
  74 | 5.66e-05
  75 | 4.79e-05
  76 | 3.99e-05
  77 | 3.34e-05
  78 | 2.80e-05
  79 | 2.36e-05
  80 | 1.99e-05
  81 | 1.69e-05
  82 | 1.44e-05
  83 | 1.24e-05
  84 | 1.08e-05
  85 | 9.49e-06
  86 | 8.39e-06
  87 | 7.47e-06
  88 | 6.75e-06
  89 | 6.15e-06
  90 | 5.65e-06
  91 | 5.24e-06
  92 | 4.89e-06
  93 | 4.61e-06
  94 | 4.37e-06
  95 | 4.17e-06
  96 | 4.01e-06
  97 | 3.95e-06
  98 | 3.95e-06
  99 | 3.99e-06
 100 | 3.91e-06
 101 | 3.89e-06
 102 | 3.89e-06
 103 | 3.91e-06
 104 | 3.92e-06
 105 | 3.93e-06
 106 | 3.90e-06
 107 | 3.85e-06
 108 | 3.77e-06
 109 | 3.64e-06
 110 | 3.48e-06
 111 | 3.32e-06
 112 | 3.11e-06
 113 | 2.93e-06
 114 | 2.79e-06
 115 | 2.66e-06
 116 | 2.54e-06
 117 | 2.44e-06
 118 | 2.35e-06
 119 | 2.27e-06
 120 | 2.20e-06
 121 | 2.15e-06
 122 | 2.10e-06
 123 | 2.05e-06
 124 | 2.00e-06
 125 | 1.97e-06
 126 | 1.94e-06
 127 | 1.91e-06
 128 | 1.89e-06
 129 | 1.87e-06
 130 | 1.85e-06
 131 | 1.84e-06
 132 | 1.83e-06
 133 | 1.82e-06
 134 | 1.81e-06
 135 | 1.81e-06
 136 | 1.80e-06
 137 | 1.79e-06
 138 | 1.78e-06
 139 | 1.77e-06
 140 | 1.76e-06
 141 | 1.75e-06
 142 | 1.74e-06
 143 | 1.73e-06
 144 | 1.72e-06
 145 | 1.71e-06
 146 | 1.71e-06
 147 | 1.71e-06
 148 | 1.72e-06
 149 | 1.73e-06
 150 | 1.74e-06
 151 | 1.76e-06
 152 | 1.79e-06
 153 | 1.82e-06
 154 | 1.86e-06
 155 | 1.91e-06
 156 | 1.97e-06
 157 | 2.05e-06
 158 | 2.16e-06
 159 | 2.30e-06
 160 | 2.48e-06
 161 | 2.69e-06
 162 | 2.95e-06
 163 | 3.29e-06
 164 | 3.69e-06
 165 | 4.17e-06
 166 | 4.77e-06
 167 | 5.49e-06
 168 | 6.34e-06
 169 | 7.32e-06
 170 | 8.47e-06
 171 | 9.78e-06
 172 | 1.12e-05
 173 | 1.28e-05
 174 | 1.42e-05
 175 | 1.54e-05
 176 | 1.62e-05
 177 | 1.63e-05
 178 | 1.60e-05
 179 | 1.53e-05
 180 | 1.45e-05
 181 | 1.35e-05
 182 | 1.24e-05
 183 | 1.12e-05
 184 | 9.94e-06
 185 | 8.78e-06
 186 | 7.63e-06
 187 | 6.62e-06
 188 | 5.71e-06
 189 | 4.91e-06
 190 | 4.23e-06
 191 | 3.65e-06
 192 | 3.18e-06
 193 | 2.74e-06
 194 | 2.36e-06
 195 | 2.05e-06
 196 | 1.76e-06
 197 | 1.53e-06
 198 | 1.33e-06
 199 | 1.17e-06
 200 | 1.03e-06
 201 | 9.11e-07
[2025-09-10 12:32:46] NMF completed in 11.84 minutes
[2025-09-10 12:32:46] Saving NMF result to: /zata/zippy/kresgeb/hippocampus/my_output/nmf/HPC/nmf_x.rda
[2025-09-10 12:32:52] Save complete.
[2025-09-10 12:32:52] ===== Session Info =====
R version 4.4.2 (2024-10-31)
Platform: x86_64-pc-linux-gnu
Running under: Ubuntu 22.04.5 LTS

Matrix products: default
BLAS:   /usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0 
LAPACK: /usr/lib/x86_64-linux-gnu/lapack/liblapack.so.3.10.0

locale:
[1] C

time zone: America/New_York
tzcode source: system (glibc)

attached base packages:
[1] stats4    stats     graphics  grDevices utils     datasets  methods   base     

other attached packages:
 [1] sessioninfo_1.2.2           Matrix_1.7-1                RcppML_0.5.5                SpatialExperiment_1.16.0   
 [5] SingleCellExperiment_1.28.1 SummarizedExperiment_1.36.0 Biobase_2.66.0              GenomicRanges_1.58.0       
 [9] GenomeInfoDb_1.42.1         IRanges_2.40.1              S4Vectors_0.44.0            BiocGenerics_0.52.0        
[13] MatrixGenerics_1.18.0       matrixStats_1.5.0          

loaded via a namespace (and not attached):
 [1] crayon_1.5.3            knitr_1.50              httr_1.4.7              cli_3.6.5              
 [5] xfun_0.53               magick_2.8.6            rlang_1.1.6             UCSC.utils_1.2.0       
 [9] jsonlite_2.0.0          DelayedArray_0.32.0     rjson_0.2.23            grid_4.4.2             
[13] evaluate_1.0.5          abind_1.4-8             compiler_4.4.2          Rcpp_1.1.0             
[17] XVector_0.46.0          RcppEigen_0.3.4.0.2     lattice_0.22-5          R6_2.6.1               
[21] SparseArray_1.6.0       GenomeInfoDbData_1.2.13 magrittr_2.0.3          tools_4.4.2            
[25] zlibbioc_1.52.0         S4Arrays_1.6.0         
- Session info ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 setting  value
 version  R version 4.4.2 (2024-10-31)
 os       Ubuntu 22.04.5 LTS
 system   x86_64, linux-gnu
 ui       X11
 language (EN)
 collate  C
 ctype    C
 tz       America/New_York
 date     2025-09-10
 pandoc   2.9.2.1 @ /usr/bin/pandoc

- Packages ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 package              * version   date (UTC) lib source
 abind                  1.4-8     2024-09-12 [1] CRAN (R 4.4.2)
 Biobase              * 2.66.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 BiocGenerics         * 0.52.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 cli                    3.6.5     2025-04-23 [1] CRAN (R 4.4.2)
 crayon                 1.5.3     2024-06-20 [1] CRAN (R 4.4.2)
 DelayedArray           0.32.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 evaluate               1.0.5     2025-08-27 [1] CRAN (R 4.4.2)
 GenomeInfoDb         * 1.42.1    2024-11-28 [1] Bioconductor 3.20 (R 4.4.2)
 GenomeInfoDbData       1.2.13    2025-01-10 [1] Bioconductor
 GenomicRanges        * 1.58.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 httr                   1.4.7     2023-08-15 [1] CRAN (R 4.4.2)
 IRanges              * 2.40.1    2024-12-05 [1] Bioconductor 3.20 (R 4.4.2)
 jsonlite               2.0.0     2025-03-27 [1] CRAN (R 4.4.2)
 knitr                  1.50      2025-03-16 [1] CRAN (R 4.4.2)
 lattice                0.22-5    2023-10-24 [3] CRAN (R 4.3.1)
 magick                 2.8.6     2025-03-23 [1] CRAN (R 4.4.2)
 magrittr               2.0.3     2022-03-30 [1] CRAN (R 4.4.2)
 Matrix               * 1.7-1     2024-10-18 [3] CRAN (R 4.4.1)
 MatrixGenerics       * 1.18.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 matrixStats          * 1.5.0     2025-01-07 [1] CRAN (R 4.4.2)
 R6                     2.6.1     2025-02-15 [1] CRAN (R 4.4.2)
 Rcpp                   1.1.0     2025-07-02 [1] CRAN (R 4.4.2)
 RcppEigen              0.3.4.0.2 2024-08-24 [1] CRAN (R 4.4.2)
 RcppML               * 0.5.5     2025-09-09 [1] Github (zdebruine/RcppML@c997bcd)
 rjson                  0.2.23    2024-09-16 [1] CRAN (R 4.4.2)
 rlang                  1.1.6     2025-04-11 [1] CRAN (R 4.4.2)
 S4Arrays               1.6.0     2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 S4Vectors            * 0.44.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 sessioninfo          * 1.2.2     2021-12-06 [1] CRAN (R 4.4.2)
 SingleCellExperiment * 1.28.1    2024-11-10 [1] Bioconductor 3.20 (R 4.4.2)
 SparseArray            1.6.0     2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 SpatialExperiment    * 1.16.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 SummarizedExperiment * 1.36.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 UCSC.utils             1.2.0     2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 xfun                   0.53      2025-08-19 [1] CRAN (R 4.4.2)
 XVector                0.46.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 zlibbioc               1.52.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)

 [1] /usr/local/lib/R/site-library
 [2] /usr/lib/R/site-library
 [3] /usr/lib/R/library

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2025-09-10 12:32:52] ===== Finished NMF process =====
