sample_id,brnum,position,vitessce_link
V12F14-051_C1,Br2720,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV12F14-051_C1_config.json
V12F14-051_D1,Br2720,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV12F14-051_D1_config.json
V12F14-051_A1,Br2720,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV12F14-051_A1_config.json
V12F14-051_B1,Br2720,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV12F14-051_B1_config.json
V10B01-086_D1,Br2743,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-086_D1_config.json
V10B01-086_C1,Br2743,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-086_C1_config.json
V11U08-081_C1,Br2743,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-081_C1_config.json
V11U08-081_D1,Br2743,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-081_D1_config.json
V11L05-333_A1,Br3942,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-333_A1_config.json
V11L05-333_B1,Br3942,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-333_B1_config.json
V11L05-333_C1,Br3942,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-333_C1_config.json
V11L05-333_D1,Br3942,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-333_D1_config.json
V10B01-085_B1,Br6423,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-085_B1_config.json
V10B01-085_A1,Br6423,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-085_A1_config.json
V10B01-085_D1,Br6423,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-085_D1_config.json
V10B01-085_C1,Br6423,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-085_C1_config.json
V10B01-086_A1,Br6432,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-086_A1_config.json
V10B01-086_B1,Br6432,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV10B01-086_B1_config.json
V11L05-335_C1,Br6471,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-335_C1_config.json
V11L05-335_B1,Br6471,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-335_B1_config.json
V11L05-335_A1,Br6471,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-335_A1_config.json
V11U08-084_A1,Br6522,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-084_A1_config.json
V11U08-084_B1,Br6522,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-084_B1_config.json
V11U08-084_C1,Br6522,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-084_C1_config.json
V11U08-084_D1,Br6522,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-084_D1_config.json
V11A20-297_C1,Br8325,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11A20-297_C1_config.json
V11A20-297_D1,Br8325,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11A20-297_D1_config.json
V11L05-335_D1,Br8325,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-335_D1_config.json
V11A20-297_A1,Br8325,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11A20-297_A1_config.json
V11A20-297_B1,Br8325,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11A20-297_B1_config.json
V11U08-081_A1,Br8492,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-081_A1_config.json
V11U08-081_B1,Br8492,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11U08-081_B1_config.json
V11L05-336_A1,Br8667,TL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-336_A1_config.json
V11L05-336_B1,Br8667,TR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-336_B1_config.json
V11L05-336_C1,Br8667,BL,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-336_C1_config.json
V11L05-336_D1,Br8667,BR,https://vitessce.io/#?edit=false&url=https%3A%2F%2Fusers.wenglab.org%2Fkresgeb%2Fhippocampus%2Fnmf_compare%2Fconfigs%2FV11L05-336_D1_config.json
