"Sample","brnum","sort","round"
"24c-scp","Br2720","PI","3"
"38c-scp","Br2720","PI","5"
"25c-scp","Br2720","PI+NeuN+","3"
"39c-scp","Br2720","PI+NeuN+","5"
"14c-scp","Br2743","PI","1"
"15c-scp","Br2743","PI+NeuN+","1"
"12c-scp","Br3942","PI","1"
"13c-scp","Br3942","PI+NeuN+","1"
"22c-scp","Br6423","PI","3"
"36c-scp","Br6423","PI","5"
"23c-scp","Br6423","PI+NeuN+","3"
"37c-scp","Br6423","PI+NeuN+","5"
"18c-scp","Br6432","PI","2"
"19c-scp","Br6432","PI+NeuN+","2"
"16c-scp","Br6471","PI","2"
"17c-scp","Br6471","PI+NeuN+","2"
"26c-scp","Br6522","PI","3"
"32c-scp","Br6522","PI","4"
"27c-scp","Br6522","PI+NeuN+","3"
"33c-scp","Br6522","PI+NeuN+","4"
"1c-scp","Br8325","PI","0"
"2c-scp","Br8325","PI+NeuN+","0"
"20c-scp","Br8492","PI","2"
"21c-scp","Br8492","PI+NeuN+","2"
"10c-scp","Br8667","PI","1"
"11c-scp","Br8667","PI+NeuN+","1"
