"sample_id","brnum","position"
"V12F14-051_C1","Br2720","TL"
"V12F14-051_D1","Br2720","TR"
"V12F14-051_A1","Br2720","BL"
"V12F14-051_B1","Br2720","BR"
"V10B01-086_D1","Br2743","TL"
"V10B01-086_C1","Br2743","TR"
"V11U08-081_C1","Br2743","BL"
"V11U08-081_D1","Br2743","BR"
"V11L05-333_A1","Br3942","TL"
"V11L05-333_B1","Br3942","TR"
"V11L05-333_C1","Br3942","BL"
"V11L05-333_D1","Br3942","BR"
"V10B01-085_B1","Br6423","TL"
"V10B01-085_A1","Br6423","TR"
"V10B01-085_D1","Br6423","BL"
"V10B01-085_C1","Br6423","BR"
"V10B01-086_A1","Br6432","TL"
"V10B01-086_B1","Br6432","BL"
"V11L05-335_C1","Br6471","TL"
"V11L05-335_B1","Br6471","TR"
"V11L05-335_A1","Br6471","BL"
"V11U08-084_A1","Br6522","TL"
"V11U08-084_B1","Br6522","TR"
"V11U08-084_C1","Br6522","BL"
"V11U08-084_D1","Br6522","BR"
"V11A20-297_C1","Br8325","TL"
"V11A20-297_D1","Br8325","TR"
"V11L05-335_D1","Br8325","TR"
"V11A20-297_A1","Br8325","BL"
"V11A20-297_B1","Br8325","BR"
"V11U08-081_A1","Br8492","TL"
"V11U08-081_B1","Br8492","BL"
"V11L05-336_A1","Br8667","TL"
"V11L05-336_B1","Br8667","TR"
"V11L05-336_C1","Br8667","BL"
"V11L05-336_D1","Br8667","BR"
