"sample_id","brnum"
"V12F14-051_A1","Br2720"
"V12F14-051_B1","Br2720"
"V12F14-051_C1","Br2720"
"V12F14-051_D1","Br2720"
"V10B01-086_C1","Br2743"
"V10B01-086_D1","Br2743"
"V11U08-081_C1","Br2743"
"V11U08-081_D1","Br2743"
"V11L05-333_A1","Br3942"
"V11L05-333_B1","Br3942"
"V11L05-333_C1","Br3942"
"V11L05-333_D1","Br3942"
"V10B01-085_A1","Br6423"
"V10B01-085_B1","Br6423"
"V10B01-085_C1","Br6423"
"V10B01-085_D1","Br6423"
"V10B01-086_A1","Br6432"
"V10B01-086_B1","Br6432"
"V11L05-335_A1","Br6471"
"V11L05-335_B1","Br6471"
"V11L05-335_C1","Br6471"
"V11U08-084_A1","Br6522"
"V11U08-084_B1","Br6522"
"V11U08-084_C1","Br6522"
"V11U08-084_D1","Br6522"
"V11A20-297_A1","Br8325"
"V11A20-297_B1","Br8325"
"V11A20-297_C1","Br8325"
"V11A20-297_D1","Br8325"
"V11L05-335_D1","Br8325"
"V11U08-081_A1","Br8492"
"V11U08-081_B1","Br8492"
"V11L05-336_A1","Br8667"
"V11L05-336_B1","Br8667"
"V11L05-336_C1","Br8667"
"V11L05-336_D1","Br8667"
