n_neighbors	min_dist	metric	n_jobs	random_state	trustworthiness	subset_n	path
20	0.01	euclidean	64	None	0.947782	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_65e15b5eafae8717.parquet
5	0.0	cosine	64	None	0.975128	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_6748082d422a53c0.parquet
20	0.1	cosine	64	None	0.944988	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_02aba703bdb74326.parquet
5	0.0	euclidean	64	None	0.978027	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_91a0b172dd8d291b.parquet
20	0.1	euclidean	64	None	0.949268	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a2447f6d72903822.parquet
5	0.01	cosine	64	None	0.975373	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_66a4f3828eefc805.parquet
20	0.25	cosine	64	None	0.952800	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5b49cdcddf8863d1.parquet
5	0.01	euclidean	64	None	0.976569	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_589d3f767fe5c981.parquet
20	0.25	euclidean	64	None	0.943458	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_7bca8ebd9746527b.parquet
5	0.1	cosine	64	None	0.977309	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_8f295834389fbb19.parquet
20	0.5	cosine	64	None	0.947510	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d4a8da7c30946245.parquet
5	0.1	euclidean	64	None	0.974344	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_bcc3341dfb5ac762.parquet
5	0.25	cosine	64	None	0.975803	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ad03be8809d90373.parquet
20	0.5	euclidean	64	None	0.943196	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_041551ddd883d85d.parquet
5	0.25	euclidean	64	None	0.978959	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_afe059c23b20cc7b.parquet
5	0.5	cosine	64	None	0.974089	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4e0eba937b1d9f65.parquet
50	0.0	cosine	64	None	0.896827	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_8dd4c9530dec0ba7.parquet
5	0.5	euclidean	64	None	0.977786	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_e6889bbf8557ba5b.parquet
50	0.0	euclidean	64	None	0.900287	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_759224c23cc0002b.parquet
10	0.0	cosine	64	None	0.963501	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_43f2ff9c5986cbb3.parquet
10	0.0	euclidean	64	None	0.964701	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_798b4f3efd7bcf61.parquet
50	0.01	cosine	64	None	0.888471	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_65fbab13ecb33dd1.parquet
10	0.01	cosine	64	None	0.962737	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_7077b4bdc1fef85b.parquet
50	0.01	euclidean	64	None	0.904856	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d54d75c671525f1f.parquet
10	0.01	euclidean	64	None	0.966739	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_61ea06d82e246e81.parquet
10	0.1	cosine	64	None	0.963885	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d1828c06167e08ca.parquet
50	0.1	cosine	64	None	0.901506	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d292b324887acb5d.parquet
10	0.1	euclidean	64	None	0.965349	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_6542c0d73326f7a8.parquet
10	0.25	cosine	64	None	0.966602	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_78936efb4f5105fd.parquet
50	0.1	euclidean	64	None	0.897517	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a3db0a918a9a14f2.parquet
10	0.25	euclidean	64	None	0.968424	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_24ee2c316742bd55.parquet
10	0.5	cosine	64	None	0.962295	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_512e633773c3aaa6.parquet
50	0.25	cosine	64	None	0.893411	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_3c0c151ca43640ba.parquet
10	0.5	euclidean	64	None	0.964134	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_c9480b35a0342bb5.parquet
50	0.25	euclidean	64	None	0.911602	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4188913b1c0875ca.parquet
15	0.0	cosine	64	None	0.950484	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_3f87e9b6f7778491.parquet
15	0.0	euclidean	64	None	0.955940	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_f8ba358b85892f69.parquet
50	0.5	cosine	64	None	0.899579	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5a8916446c180ec0.parquet
15	0.01	cosine	64	None	0.952431	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_0c5be44e9fec56c5.parquet
50	0.5	euclidean	64	None	0.903612	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_00a0ecc8244a91a0.parquet
15	0.01	euclidean	64	None	0.954053	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5a545fde2966f597.parquet
15	0.1	cosine	64	None	0.952891	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_e7846d408e419797.parquet
15	0.1	euclidean	64	None	0.959367	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_3b3188d3dd11868c.parquet
15	0.25	cosine	64	None	0.952170	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_f452b596f95ecc0e.parquet
15	0.25	euclidean	64	None	0.960062	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_262ba34321cb8735.parquet
15	0.5	cosine	64	None	0.954950	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d1b714ec87873339.parquet
100	0.0	cosine	64	None	0.797654	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_adffe0b47d988080.parquet
15	0.5	euclidean	64	None	0.954816	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ffbc083c7af9fadd.parquet
100	0.0	euclidean	64	None	0.828708	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a19dc4b3551b2c6f.parquet
20	0.0	cosine	64	None	0.944655	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_e63eff1afc2df71c.parquet
20	0.0	euclidean	64	None	0.947311	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_c68d1b5dc3bd01b6.parquet
20	0.01	cosine	64	None	0.942948	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_41c47e1affd1ddb1.parquet
20	0.01	euclidean	64	None	0.948310	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_65e15b5eafae8717.parquet
20	0.1	cosine	64	None	0.945734	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_02aba703bdb74326.parquet
20	0.1	euclidean	64	None	0.948238	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a2447f6d72903822.parquet
20	0.25	cosine	64	None	0.945755	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5b49cdcddf8863d1.parquet
100	0.01	cosine	64	None	0.805634	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ed6582a7e271fbab.parquet
20	0.25	euclidean	64	None	0.947867	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_7bca8ebd9746527b.parquet
100	0.01	euclidean	64	None	0.846069	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cd4c7b87e2e78f98.parquet
20	0.5	cosine	64	None	0.948341	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d4a8da7c30946245.parquet
20	0.5	euclidean	64	None	0.945447	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_041551ddd883d85d.parquet
50	0.0	cosine	64	None	0.890962	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_8dd4c9530dec0ba7.parquet
50	0.0	euclidean	64	None	0.910480	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_759224c23cc0002b.parquet
100	0.1	cosine	64	None	0.826080	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cc41d2e2c9161c1d.parquet
50	0.01	cosine	64	None	0.889909	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_65fbab13ecb33dd1.parquet
100	0.1	euclidean	64	None	0.847904	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4cfba31712db037c.parquet
50	0.01	euclidean	64	None	0.899676	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d54d75c671525f1f.parquet
50	0.1	cosine	64	None	0.897885	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d292b324887acb5d.parquet
50	0.1	euclidean	64	None	0.904914	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a3db0a918a9a14f2.parquet
50	0.25	cosine	64	None	0.908005	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_3c0c151ca43640ba.parquet
100	0.25	cosine	64	None	0.813395	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_1011dfc4a371beb6.parquet
50	0.25	euclidean	64	None	0.904247	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4188913b1c0875ca.parquet
50	0.5	cosine	64	None	0.899917	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5a8916446c180ec0.parquet
50	0.5	euclidean	64	None	0.895763	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_00a0ecc8244a91a0.parquet
100	0.0	cosine	64	None	0.809459	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_adffe0b47d988080.parquet
100	0.0	euclidean	64	None	0.838846	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a19dc4b3551b2c6f.parquet
100	0.01	cosine	64	None	0.807673	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ed6582a7e271fbab.parquet
100	0.01	euclidean	64	None	0.836366	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cd4c7b87e2e78f98.parquet
100	0.1	cosine	64	None	0.811719	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cc41d2e2c9161c1d.parquet
100	0.1	euclidean	64	None	0.829957	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4cfba31712db037c.parquet
100	0.25	cosine	64	None	0.811112	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_1011dfc4a371beb6.parquet
