prompt,prompt_template,gene_misspelled,gene,chr_name,start,end,igscreen_link_gene,igscreen_link_region
What cCREs are annotated in chr15:43796142-43804574?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,15,43796142,43804574,,https://igscreen.wenglab.org/region/chr15:43796142-43804574/browser
What cCREs are annotated in chrX:49922596-50099235?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,X,49922596,50099235,,https://igscreen.wenglab.org/region/chrX:49922596-50099235/browser
What cCREs are annotated in chr1:179839967-179877803?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,179839967,179877803,,https://igscreen.wenglab.org/region/chr1:179839967-179877803/browser
What cCREs are annotated in chr11:33698261-33722467?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,11,33698261,33722467,,https://igscreen.wenglab.org/region/chr11:33698261-33722467/browser
What cCREs are annotated in chr14:22630929-22644352?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,14,22630929,22644352,,https://igscreen.wenglab.org/region/chr14:22630929-22644352/browser
What cCREs are annotated in chr1:147541501-147626216?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,147541501,147626216,,https://igscreen.wenglab.org/region/chr1:147541501-147626216/browser
What cCREs are annotated in chr7:142941114-142962363?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,142941114,142962363,,https://igscreen.wenglab.org/region/chr7:142941114-142962363/browser
What cCREs are annotated in chr1:202348699-202592706?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,1,202348699,202592706,,https://igscreen.wenglab.org/region/chr1:202348699-202592706/browser
What cCREs are annotated in chr4:150582151-150584693?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,4,150582151,150584693,,https://igscreen.wenglab.org/region/chr4:150582151-150584693/browser
What cCREs are annotated in chr14:24213943-24216070?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,14,24213943,24216070,,https://igscreen.wenglab.org/region/chr14:24213943-24216070/browser
What cCREs are annotated in chr3:159273244-159897629?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,3,159273244,159897629,,https://igscreen.wenglab.org/region/chr3:159273244-159897629/browser
What cCREs are annotated in chr19:1228287-1238027?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,19,1228287,1238027,,https://igscreen.wenglab.org/region/chr19:1228287-1238027/browser
What cCREs are annotated in chr7:38178245-38230670?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,7,38178245,38230670,,https://igscreen.wenglab.org/region/chr7:38178245-38230670/browser
What cCREs are annotated in chr16:72054505-72061055?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,16,72054505,72061055,,https://igscreen.wenglab.org/region/chr16:72054505-72061055/browser
What cCREs are annotated in chr3:128462437-128466968?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,3,128462437,128466968,,https://igscreen.wenglab.org/region/chr3:128462437-128466968/browser
What cCREs are annotated in chr17:4945652-4949061?,What cCREs are annotated in chr{chr}:{start}-{end}?,False,,17,4945652,4949061,,https://igscreen.wenglab.org/region/chr17:4945652-4949061/browser
